Training on CPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 6550: Episode: 219, R100:  11.04, MaxR:  119.00, R:  10.00, FPS:  848.9, L100:  0.03, Epsilon:  0.2194
Frame: 6561: Episode: 220, R100:  11.04, MaxR:  119.00, R:  11.00, FPS:  872.2, L100:  0.03, Epsilon:  0.2194
Frame: 6570: Episode: 221, R100:  11.03, MaxR:  119.00, R:  9.00, FPS:  852.7, L100:  0.03, Epsilon:  0.2193
Frame: 6579: Episode: 222, R100:  11.03, MaxR:  119.00, R:  9.00, FPS:  842.2, L100:  0.03, Epsilon:  0.2193
Frame: 6589: Episode: 223, R100:  11.03, MaxR:  119.00, R:  10.00, FPS:  849.1, L100:  0.03, Epsilon:  0.2193
Frame: 6599: Episode: 224, R100:  11.00, MaxR:  119.00, R:  10.00, FPS:  869.1, L100:  0.03, Epsilon:  0.2192
Frame: 6607: Episode: 225, R100:  10.97, MaxR:  119.00, R:  8.00, FPS:  840.1, L100:  0.03, Epsilon:  0.2192
Frame: 6618: Episode: 226, R100:  10.98, MaxR:  119.00, R:  11.00, FPS:  849.8, L100:  0.03, Epsilon:  0.2191
Frame: 6627: Episode: 227, R100:  10.97, MaxR:  119.00, R:  9.00, FPS:  849.0, L100:  0.03, Epsilon:  0.2191
Frame: 6638: Episode: 228, R100:  10.98, MaxR:  119.00, R:  11.00, FPS:  859.4, L100:  0.03, Epsilon:  0.2190
Frame: 6649: Episode: 229, R100:  10.98, MaxR:  119.00, R:  11.00, FPS:  854.6, L100:  0.03, Epsilon:  0.2190
Frame: 6659: Episode: 230, R100:  10.99, MaxR:  119.00, R:  10.00, FPS:  853.2, L100:  0.03, Epsilon:  0.2190
Frame: 6669: Episode: 231, R100:  10.98, MaxR:  119.00, R:  10.00, FPS:  864.6, L100:  0.03, Epsilon:  0.2189
Frame: 6677: Episode: 232, R100:  10.95, MaxR:  119.00, R:  8.00, FPS:  845.4, L100:  0.03, Epsilon:  0.2189
Frame: 6686: Episode: 233, R100:  10.90, MaxR:  119.00, R:  9.00, FPS:  863.3, L100:  0.03, Epsilon:  0.2188
Frame: 6695: Episode: 234, R100:  10.88, MaxR:  119.00, R:  9.00, FPS:  862.3, L100:  0.03, Epsilon:  0.2188
Frame: 6705: Episode: 235, R100:  10.87, MaxR:  119.00, R:  10.00, FPS:  848.4, L100:  0.03, Epsilon:  0.2188
Frame: 6717: Episode: 236, R100:  10.89, MaxR:  119.00, R:  12.00, FPS:  861.7, L100:  0.03, Epsilon:  0.2187
Frame: 6727: Episode: 237, R100:  10.90, MaxR:  119.00, R:  10.00, FPS:  843.6, L100:  0.03, Epsilon:  0.2187
Frame: 6737: Episode: 238, R100:  10.91, MaxR:  119.00, R:  10.00, FPS:  845.4, L100:  0.03, Epsilon:  0.2186
Frame: 6748: Episode: 239, R100:  10.91, MaxR:  119.00, R:  11.00, FPS:  864.7, L100:  0.03, Epsilon:  0.2186
Frame: 6761: Episode: 240, R100:  10.95, MaxR:  119.00, R:  13.00, FPS:  864.7, L100:  0.03, Epsilon:  0.2185
Frame: 6769: Episode: 241, R100:  10.93, MaxR:  119.00, R:  8.00, FPS:  841.2, L100:  0.03, Epsilon:  0.2185
Frame: 6780: Episode: 242, R100:  10.91, MaxR:  119.00, R:  11.00, FPS:  848.7, L100:  0.03, Epsilon:  0.2184
Frame: 6788: Episode: 243, R100:  10.90, MaxR:  119.00, R:  8.00, FPS:  852.0, L100:  0.03, Epsilon:  0.2184
Frame: 6798: Episode: 244, R100:  10.86, MaxR:  119.00, R:  10.00, FPS:  852.7, L100:  0.03, Epsilon:  0.2183
Frame: 6810: Episode: 245, R100:  10.88, MaxR:  119.00, R:  12.00, FPS:  860.5, L100:  0.03, Epsilon:  0.2183
Frame: 6823: Episode: 246, R100:  10.88, MaxR:  119.00, R:  13.00, FPS:  848.3, L100:  0.03, Epsilon:  0.2182
Frame: 6831: Episode: 247, R100:  10.87, MaxR:  119.00, R:  8.00, FPS:  848.3, L100:  0.03, Epsilon:  0.2182
Frame: 6839: Episode: 248, R100:  10.87, MaxR:  119.00, R:  8.00, FPS:  843.4, L100:  0.03, Epsilon:  0.2182
Frame: 6849: Episode: 249, R100:  10.85, MaxR:  119.00, R:  10.00, FPS:  844.8, L100:  0.03, Epsilon:  0.2181
Frame: 6860: Episode: 250, R100:  10.84, MaxR:  119.00, R:  11.00, FPS:  854.3, L100:  0.03, Epsilon:  0.2181
Frame: 6870: Episode: 251, R100:  10.83, MaxR:  119.00, R:  10.00, FPS:  838.9, L100:  0.03, Epsilon:  0.2180
Frame: 6881: Episode: 252, R100:  10.85, MaxR:  119.00, R:  11.00, FPS:  851.3, L100:  0.03, Epsilon:  0.2180
Frame: 6891: Episode: 253, R100:  10.83, MaxR:  119.00, R:  10.00, FPS:  848.3, L100:  0.03, Epsilon:  0.2179
Frame: 6903: Episode: 254, R100:  10.82, MaxR:  119.00, R:  12.00, FPS:  866.3, L100:  0.03, Epsilon:  0.2179
Frame: 6912: Episode: 255, R100:  10.83, MaxR:  119.00, R:  9.00, FPS:  853.8, L100:  0.03, Epsilon:  0.2179
Frame: 6920: Episode: 256, R100:  10.81, MaxR:  119.00, R:  8.00, FPS:  861.6, L100:  0.03, Epsilon:  0.2178
Frame: 6930: Episode: 257, R100:  10.81, MaxR:  119.00, R:  10.00, FPS:  843.9, L100:  0.03, Epsilon:  0.2178
Frame: 6941: Episode: 258, R100:  10.83, MaxR:  119.00, R:  11.00, FPS:  859.8, L100:  0.03, Epsilon:  0.2177
Frame: 6949: Episode: 259, R100:  10.78, MaxR:  119.00, R:  8.00, FPS:  845.6, L100:  0.03, Epsilon:  0.2177
Frame: 6958: Episode: 260, R100:  10.77, MaxR:  119.00, R:  9.00, FPS:  845.7, L100:  0.03, Epsilon:  0.2177
Frame: 6968: Episode: 261, R100:  10.78, MaxR:  119.00, R:  10.00, FPS:  852.5, L100:  0.03, Epsilon:  0.2176
Frame: 6979: Episode: 262, R100:  10.79, MaxR:  119.00, R:  11.00, FPS:  848.2, L100:  0.03, Epsilon:  0.2176
Frame: 6992: Episode: 263, R100:  10.81, MaxR:  119.00, R:  13.00, FPS:  854.4, L100:  0.03, Epsilon:  0.2175
Frame: 7003: Episode: 264, R100:  10.84, MaxR:  119.00, R:  11.00, FPS:  840.8, L100:  0.05, Epsilon:  0.2175
Frame: 7013: Episode: 265, R100:  10.86, MaxR:  119.00, R:  10.00, FPS:  865.8, L100:  0.10, Epsilon:  0.2174
Frame: 7021: Episode: 266, R100:  10.81, MaxR:  119.00, R:  8.00, FPS:  847.6, L100:  0.11, Epsilon:  0.2174
Frame: 7084: Episode: 267, R100:  11.34, MaxR:  119.00, R:  63.00, FPS:  861.3, L100:  0.16, Epsilon:  0.2171
Frame: 7095: Episode: 268, R100:  11.33, MaxR:  119.00, R:  11.00, FPS:  835.3, L100:  0.16, Epsilon:  0.2171
Frame: 7108: Episode: 269, R100:  11.35, MaxR:  119.00, R:  13.00, FPS:  860.5, L100:  0.12, Epsilon:  0.2170
Frame: 7119: Episode: 270, R100:  11.36, MaxR:  119.00, R:  11.00, FPS:  849.5, L100:  0.09, Epsilon:  0.2170
Frame: 7137: Episode: 271, R100:  11.43, MaxR:  119.00, R:  18.00, FPS:  867.6, L100:  0.08, Epsilon:  0.2169
Frame: 7147: Episode: 272, R100:  11.38, MaxR:  119.00, R:  10.00, FPS:  865.3, L100:  0.08, Epsilon:  0.2168
Frame: 7157: Episode: 273, R100:  11.38, MaxR:  119.00, R:  10.00, FPS:  841.3, L100:  0.08, Epsilon:  0.2168
Frame: 7171: Episode: 274, R100:  11.31, MaxR:  119.00, R:  14.00, FPS:  862.4, L100:  0.08, Epsilon:  0.2167
Frame: 7185: Episode: 275, R100:  11.13, MaxR:  119.00, R:  14.00, FPS:  855.1, L100:  0.08, Epsilon:  0.2167
Frame: 7194: Episode: 276, R100:  11.05, MaxR:  119.00, R:  9.00, FPS:  843.0, L100:  0.08, Epsilon:  0.2166
Frame: 7205: Episode: 277, R100:  11.00, MaxR:  119.00, R:  11.00, FPS:  843.6, L100:  0.08, Epsilon:  0.2166
Frame: 7216: Episode: 278, R100:  10.97, MaxR:  119.00, R:  11.00, FPS:  865.7, L100:  0.08, Epsilon:  0.2165
Frame: 7227: Episode: 279, R100:  10.96, MaxR:  119.00, R:  11.00, FPS:  843.4, L100:  0.08, Epsilon:  0.2165
Frame: 7240: Episode: 280, R100:  10.92, MaxR:  119.00, R:  13.00, FPS:  855.8, L100:  0.08, Epsilon:  0.2164
Frame: 7249: Episode: 281, R100:  10.92, MaxR:  119.00, R:  9.00, FPS:  845.0, L100:  0.08, Epsilon:  0.2164
Frame: 7262: Episode: 282, R100:  10.94, MaxR:  119.00, R:  13.00, FPS:  856.6, L100:  0.08, Epsilon:  0.2163
Frame: 7272: Episode: 283, R100:  10.95, MaxR:  119.00, R:  10.00, FPS:  848.9, L100:  0.08, Epsilon:  0.2163
Frame: 7281: Episode: 284, R100:  10.95, MaxR:  119.00, R:  9.00, FPS:  839.1, L100:  0.08, Epsilon:  0.2163
Frame: 7295: Episode: 285, R100:  11.00, MaxR:  119.00, R:  14.00, FPS:  843.4, L100:  0.08, Epsilon:  0.2162
Frame: 7306: Episode: 286, R100:  11.02, MaxR:  119.00, R:  11.00, FPS:  843.5, L100:  0.08, Epsilon:  0.2161
Frame: 7316: Episode: 287, R100:  11.01, MaxR:  119.00, R:  10.00, FPS:  835.5, L100:  0.08, Epsilon:  0.2161
Frame: 7325: Episode: 288, R100:  11.00, MaxR:  119.00, R:  9.00, FPS:  849.2, L100:  0.08, Epsilon:  0.2161
Frame: 7336: Episode: 289, R100:  10.98, MaxR:  119.00, R:  11.00, FPS:  846.1, L100:  0.08, Epsilon:  0.2160
Frame: 7350: Episode: 290, R100:  11.00, MaxR:  119.00, R:  14.00, FPS:  862.0, L100:  0.08, Epsilon:  0.2160
Frame: 7360: Episode: 291, R100:  10.99, MaxR:  119.00, R:  10.00, FPS:  846.5, L100:  0.08, Epsilon:  0.2159
Frame: 7369: Episode: 292, R100:  10.97, MaxR:  119.00, R:  9.00, FPS:  835.7, L100:  0.08, Epsilon:  0.2159
Frame: 7379: Episode: 293, R100:  10.97, MaxR:  119.00, R:  10.00, FPS:  838.8, L100:  0.08, Epsilon:  0.2158
