Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 11152: Episode: 178, R100:  69.52, MaxR:  203.00, R:  186.00, FPS:  517.0, L100:  0.73, Epsilon:  0.2002
Frame: 11293: Episode: 179, R100:  70.46, MaxR:  203.00, R:  141.00, FPS:  517.1, L100:  0.81, Epsilon:  0.1997
Frame: 11460: Episode: 180, R100:  71.80, MaxR:  203.00, R:  167.00, FPS:  514.3, L100:  0.78, Epsilon:  0.1990
Frame: 11642: Episode: 181, R100:  73.23, MaxR:  203.00, R:  182.00, FPS:  514.8, L100:  0.73, Epsilon:  0.1983
Frame: 11823: Episode: 182, R100:  74.27, MaxR:  203.00, R:  181.00, FPS:  513.9, L100:  0.81, Epsilon:  0.1976
Frame: 11983: Episode: 183, R100:  75.08, MaxR:  203.00, R:  160.00, FPS:  512.1, L100:  0.73, Epsilon:  0.1969
Frame: 12031: Episode: 184, R100:  75.10, MaxR:  203.00, R:  48.00, FPS:  516.2, L100:  0.83, Epsilon:  0.1967
Frame: 12044: Episode: 185, R100:  74.19, MaxR:  203.00, R:  13.00, FPS:  508.5, L100:  0.90, Epsilon:  0.1967
Frame: 12061: Episode: 186, R100:  74.01, MaxR:  203.00, R:  17.00, FPS:  509.7, L100:  0.91, Epsilon:  0.1966
Frame: 12222: Episode: 187, R100:  75.00, MaxR:  203.00, R:  161.00, FPS:  511.9, L100:  0.85, Epsilon:  0.1960
Frame: 12365: Episode: 188, R100:  75.96, MaxR:  203.00, R:  143.00, FPS:  510.7, L100:  0.96, Epsilon:  0.1954
Frame: 12572: Episode: 189, R100:  77.17, MaxR:  207.00, R:  207.00, FPS:  509.5, L100:  0.84, Epsilon:  0.1946
Frame: 12747: Episode: 190, R100:  78.42, MaxR:  207.00, R:  175.00, FPS:  508.0, L100:  1.09, Epsilon:  0.1940
Frame: 12936: Episode: 191, R100:  79.66, MaxR:  207.00, R:  189.00, FPS:  507.1, L100:  0.96, Epsilon:  0.1932
Frame: 13111: Episode: 192, R100:  80.80, MaxR:  207.00, R:  175.00, FPS:  510.1, L100:  0.95, Epsilon:  0.1926
Frame: 13256: Episode: 193, R100:  81.96, MaxR:  207.00, R:  145.00, FPS:  508.7, L100:  0.90, Epsilon:  0.1920
Frame: 13422: Episode: 194, R100:  83.50, MaxR:  207.00, R:  166.00, FPS:  501.2, L100:  0.91, Epsilon:  0.1914
Frame: 13595: Episode: 195, R100:  85.14, MaxR:  207.00, R:  173.00, FPS:  506.2, L100:  1.04, Epsilon:  0.1907
Frame: 13761: Episode: 196, R100:  86.69, MaxR:  207.00, R:  166.00, FPS:  507.1, L100:  1.02, Epsilon:  0.1901
Frame: 13922: Episode: 197, R100:  88.10, MaxR:  207.00, R:  161.00, FPS:  502.8, L100:  0.89, Epsilon:  0.1895
